,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
0,Lagerstroemia x ‘Acoma’,Acoma crape myrtle,Lythraceae,Tree,2-15 ft. tall and 2-10 ft. wide,Full,Well-draining ,Slightly acidic to neutral,"Spring, summer",White,"7, 8, 9","Asia, Australia"
1,Aeonium spp.,Aeonium,Crassulaceae,Perennial succulent,2–60 in. (depending on species and variety),Full sun to part shade,Sandy loam,5.6–6.0 (slightly acidic),Late winter or spring,"Pink (flowering is rare, occurring only in mature plants)",9–11 (USDA); often grown as potted plants,"Canary Islands, Africa"
2,Aerangis spp.,Aerangis orchids,,Epiphytic orchids,6–24 inches (varies by species),"Part sun, bright filtered light",Orchid potting mix,5.5 to 6.0 (acidic),Spring to fall (varies by species),"White, yellow ",10–11 (USDA),"Tropical Africa, Madagascar"
3,"African daisy, cape daisy, osteospermum",Osteospermum spp.,Asteraceae,Perennial,"1–3 ft. tall, 1–2 ft. wide",Full sun,"Moist, well-drained",5.0 -5.5 (Acidic),"Spring, summer, fall","Purple, pink, yellow, orange, white, bicolor",10–11 (USDA),"Africa, Southwestern Asia"
4,Afrocarpus gracilior or Podocarpus gracilior,African fern pine,,Coniferous tree,"40–60 feet, 20–35 feet wide",Full sun (tolerates part shade),Well-draining,6.0 to 7.0 (slightly acidic to neutral),Spring (flowers are insignificant),Yellow,9–11 (USDA),East Africa
5,Alocasia x amazonica,Amazonian elephant's ear,,Tropical,"1–2 ft. tall, 1–2 ft. wide",Partial,"Moist, well-drained",Neutral to acidic,"Spring, summer (rarely blooms)",Green,9–11 (USDA),Asia
6,Euphorbia trigona,"African milk tree, African milk bush",Euphorbiaceae,Succulent,"6-9 ft. tall, 1-2 ft. wide",Partial,"Loamy, well-drained",Neutral,"Spring, summer",White,9b-11 (USDA),
7,Sansevieria cylindrica,,,Succulent,"4–6 ft. tall, 1–2 ft. wide","Full, partial","Sandy, well-drained",Neutral,Sporadic,White,10–11 (USDA),Africa
8,"Agastache rupestris, Agastache foeniculum, etc","Giant hyssop, hummingbird mint, licorice mint",,Herbaceous perennial ,3 to 5 ft. tall,Full sun,"Lean soil, well-drained ",Slightly acidic,Summer ,"Various (blue,purple, red, orange, pink, white)",3 to 10 (USDA) (depends on variety),
9,Agave,"Agave, century plant",Asparagaceae,"Perennial, succulent","1–20 ft. tall, 1–10 ft. wide (depends on variety)",Full,"Sandy, well-drained","Acidic, neutral",Varies — most plants only bloom once in their lifetime,"Green, white, yellow","5–11, USA","North America, Central America, South America"
10,Tillandsia cacticola,Air plant,,Houseplant or annual,6 inches tall and 6 to 18 inches wide,"Bright, indirect light to full sun",Not applicable,Not applicable,"Once, when fully matured",White,9 to 11,Peru
11,Tillandsia kolbii,Air plant,,Houseplant or annual,1 to 3 inches,"Bright, indirect light",Not applicable,Not applicable,"Once, when fully matured","Red, orange, or purple","9 to 11, USA",Mexico and Guatemala
12,Tillandsia stricta,Air plant,,Houseplant or annual,6 to 12 inches,"Bright, indirect light ",Not applicable,Not applicable,"Once, when fully matured","Red, pink, blue, or purple",9 to 11,South America
13,Ajuga reptans,"Bugleweed, common bugleweed, ajuga, carpet bugle, blue bugle, carpetweed, carpenter's herb",Lamiaceae,Herbaceous perennial,6 to 9 in. tall and 6 to 12 in. wide,Full sun to partial shade,"Medium-moisture, well-drained",Slightly acidic 6.5,May to June,"Blue, violet",4 to 9 (USDA),"Europe, northern Africa, southwestern Asia"
14,Pinus halepensis,"Aleppo pine, Jerusalem pine",Pinaceae,"Evergreen, Tree","20 to 50 ft. tall, 20 ft. wide",Full sun,"Loamy, Sandy","Acidic, Neutral, Alkaline",,,"8-11, USDA",Mediterranean
15,Hedera algeriensis,"Algerian ivy, Canary Island ivy, Madeira ivy",,Evergreen vine,"20-40 ft. long vine, 3-ft. spread",Partial shade to partial sun,"Neutral, well-draining","Neutral, slightly acidic",Spring,Flowers rarely; light green,7-11 (USDA),
16,Juniperus deppeana,"Alligator juniper, checkerbark juniper, western juniper",,Evergreen tree,50' tall,Full sun,"Dry, well-draining",5.5 - 7.0,Winter,Seed cones,7-9,"Mexico, southern United States"
17,Prunus dulcis,Almond tree,,Deciduous tree,10 to 15 feet tall and wide,Full sun ,"Rich, deep, well-drained loam",Slightly acidic to neutral to slightly alkaline,March,"White, pink",,North Africa and the Middle East
18,Alocasia spp.,"Alocasia, elephant ear","Araceae, or Aroid",Herbaceous perennial,"2–9 ft. tall, 2-9 ft. spread (depends on species and variety)",Bright indirect light indoors; part shade outdoors,"Loose, well-draining potting mix or crumbly loam",Slightly acidic (5.5 to 6.5),Spring and summer,Light butter-yellow (flowers are not showy),10–12 (USDA),
19,Alocasia reginula A.Hay,"Alocasia Black Velvet, Black Velvet Elephant Ear",Araceae,"Herbaceous, Perennial",Up to 1.5 ft. tall,Partial,Well-drained,"Acid, Neutral",Very occasional,White,10+ (USDA),Southeast Asia
20,Alocasia baginda 'Dragon Scale' ,Alocasia dragon scale ,Araceae ,"Perennial, corm ","2-3 ft. tall (indoors), 1-2 ft. wide (indoors) ",Partial ,Moist but well-draining ,"Neutral, alkaline ","Spring, summer ","Green, white ",9-11 (USDA) ,Asia
